substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
ALLANTOIN,ALLANTOIN,GOONGSECRET CALMING BATH,0to7 Inc,HUMAN OTC DRUG,POWDER,TOPICAL,OTC MONOGRAPH FINAL,0.055,g
LIDOCAINE,LIDOCAINE AND MENTHOL,1st RELIEF TOPICAL,1st Class Pharmaceuticals Inc,HUMAN OTC DRUG,SPRAY,TOPICAL,OTC MONOGRAPH NOT FINAL,40,mg
ESTRONE,20L-A Peptides 20L-B Peptides Acetyl coenzyme A adenosinum triphosphoricum dinatrum adrenal cotex suis agnus castus aldosterone anacardium orientale androsterone antimonium crudum apiol argentum nitricum ATP bacopa speciosa berberis vulgaris bryonia cedron chamomilla chininum sulphuricum cholesterinum cimicifugaracemosa cina,20Lighter Crave Control,20Lighter Health & Wellness LLC,HUMAN PRESCRIPTION DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
SEMECARPUS ANACARDIUM JUICE,20L-A PEPTIDES,20 Lighter Fat Burner,20Lighter Health & Wellness LLC,HUMAN PRESCRIPTION DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
PORK LIVER,Hepar Suis,HGH,21st Century Designer Health Products,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
PORK LIVER,Hepar suis,HGH,21st Century Designer Health Products,HUMAN OTC DRUG,SPRAY,ORAL,UNAPPROVED HOMEOPATHIC,8,[hp_X]
TRIFOLIUM PRATENSE FLOWER,Capsicum Annuum,1 Detoxification,21st Century Homeopathics,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
LIDOCAINE,LIDOCAINE,GIGI ANESTHETIC NUMBING,220 LABORATORIES INC,HUMAN OTC DRUG,AEROSOL,TOPICAL,OTC MONOGRAPH FINAL,40,mg
ALUMINUM SULFATE,ALUMINUM SULFATE,NICK RELIEF,220 LABORATORIES INC,HUMAN OTC DRUG,STICK,TOPICAL,OTC MONOGRAPH FINAL,46,mg
CHITOSAN OLIGOSACCHARIDE,Cevimeline Hydrochloride,Chitoprex,38 Biotech Laboratory LLC,HUMAN OTC DRUG,CAPSULE,RECTAL,UNAPPROVED HOMEOPATHIC,250,mg
STANNOUS FLUORIDE,stannous fluoride,PerioMed,3M ESPE Dental Products,HUMAN OTC DRUG,RINSE,ORAL,OTC MONOGRAPH FINAL,1.53,mg
IODINE POVACRYLEX,Iodine povacrylex and Isopropyl alcohol,3M DuraPrep Surgical,3M Health Care,HUMAN OTC DRUG,SOLUTION,TOPICAL,NDA,6.02,mg
LANOLIN,Lanolin,Skin Shield,4sport D.o.o.,HUMAN OTC DRUG,LOTION,TOPICAL,OTC MONOGRAPH FINAL,40,g
DAYTIME NIGHTTIME COLD,DAYTIME NIGHTTIME COLD,DAYTIME NIGHTTIME COLD/FLU RELIEF,A P J Laboratories Limited,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
CALCIUM CARBONATE,Calcium Carbonate,D-Cal Kids,A&Z Pharmaceutical Inc,HUMAN OTC DRUG,GRANULE,ORAL,OTC MONOGRAPH FINAL,750,mg
ACETAMINOPHEN,Acetaminophen,Day and Night Cold,AAA Pharmaceutical Inc,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,OTC MONOGRAPH FINAL,None,None
WATER,Water,Bouton,Aaxis Pacific,HUMAN OTC DRUG,RINSE,OPHTHALMIC,OTC MONOGRAPH FINAL,98.6,mL
SULFUR,SULFUR,END-ZIT,ABBE Laboratories Inc,HUMAN OTC DRUG,LOTION,TOPICAL,OTC MONOGRAPH FINAL,0.05,g
METHYL SALICYLATE,Methyl Salicylate and Menthol,Noble Lion Medicated Balm,ABBP (ARRINGTON BATTLE BELL & PERRY) LLC,HUMAN OTC DRUG,LINIMENT,TOPICAL,OTC MONOGRAPH FINAL,30,mL
DACLIZUMAB,Daclizumab,Zinbryta,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,150,mg
CYCLOSPORINE,Cyclosporine,Gengraf,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,ANDA,50,mg
DIVALPROEX SODIUM,Divalproex Sodium,Depakote,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,125,mg
DRONABINOL,Dronabinol,Marinol,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,2.5,mg
PROGESTERONE,Progesterone,Prometrium,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,100,mg
RITONAVIR,Ritonavir,Norvir,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,100,mg
FENOFIBRIC ACID,Fenofibric Acid,Trilipix,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,45,mg
PANCRELIPASE AMYLASE,Pancrelipase,Creon,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,15000,[USP'U]
PANCRELIPASE AMYLASE,Pancrelipase,Creon,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,30000,[USP'U]
PANCRELIPASE LIPASE,Pancrelipase,Creon,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,36000,[USP'U]
PARICALCITOL,Paricalcitol,Zemplar,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,2,ug
VALPROIC ACID,Valproic Acid,Depakene,Abbvie Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,250,mg
TESTOSTERONE,Testosterone,Androgel,Abbvie Inc,HUMAN PRESCRIPTION DRUG,GEL,TRANSDERMAL,NDA,10,mg
CLARITHROMYCIN,Clarithromycin,Biaxin,Abbvie Inc,HUMAN PRESCRIPTION DRUG,GRANULE,ORAL,NDA,250,mg
CISATRACURIUM BESYLATE,Cisatracurium besylate,Nimbex,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,2,mg
VALPROATE SODIUM,Valproate Sodium,Depacon,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,100,mg
ADALIMUMAB,Adalimumab,Humira,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,BLA,40,mg
CALCITRIOL,Calcitriol,Calcijex,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,ug
PARICALCITOL,Paricalcitol,Zemplar,Abbvie Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,5,ug
DASABUVIR AND OMBITASVIR AND PARITAPREVIR AND RITONAVIR,Dasabuvir and Ombitasvir and Paritaprevir and Ritonavir,Viekira,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ADALIMUMAB,Adalimumab,Humira,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,BLA,None,None
VENETOCLAX,Venetoclax,Venclexta,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
LEUPROLIDE ACETATE AND NORETHINDRONE ACETATE,leuprolide acetate and norethindrone acetate,Lupaneta Pack,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
LEUPROLIDE ACETATE,leuprolide acetate,Lupron Depot-PED,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ADALIMUMAB,Adalimumab,Humira,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,BLA,None,None
OMBITASVIR AND PARITAPREVIR AND RITONAVIR,Ombitasvir and Paritaprevir and Ritonavir,Technivie,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
DASABUVIR AND OMBITASVIR AND PARITAPREVIR AND RITONAVIR,Dasabuvir and Ombitasvir and Paritaprevir and Ritonavir,Viekira Pak,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
RIBAVIRIN,Ribavirin,Moderiba,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
LEUPROLIDE ACETATE,leuprolide acetate,Lupron Depot,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
ADALIMUMAB,Adalimumab,Humira,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,BLA,None,None
LEUPROLIDE ACETATE,leuprolide acetate,Lupron Depot-PED,Abbvie Inc,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
SEVOFLURANE,Sevoflurane,Ultane,Abbvie Inc,HUMAN PRESCRIPTION DRUG,LIQUID,RESPIRATORY (INHALATION),NDA,250,mL
CYCLOSPORINE,Cyclosporine,Gengraf,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,ANDA,100,mg
LOPINAVIR,Lopinavir and Ritonavir,Kaletra,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,NDA,80,mg
RITONAVIR,Ritonavir,Norvir,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,NDA,80,mg
VALPROIC ACID,Valproic Acid,Depakene,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,NDA,250,mg
BERACTANT,Beractant,Survanta,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SUSPENSION,ENDOTRACHEAL,NDA,25,mg
LEVODOPA,Carbidopa and Levodopa,Duopa,Abbvie Inc,HUMAN PRESCRIPTION DRUG,SUSPENSION,ENTERAL,NDA,20,mg
FENOFIBRATE,Fenofibrate,Tricor,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,48,mg
LEVOTHYROXINE SODIUM,Levothyroxine Sodium,Synthroid,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,137,ug
TRANDOLAPRIL,Trandolapril,Mavik,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,1,mg
TRIMETHADIONE,Trimethadione,Tridione,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,150,mg
DIVALPROEX SODIUM,Divalproex Sodium,Depakote,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,125,mg
DILTIAZEM HYDROCHLORIDE,Diltiazem Hydrochloride,Cardizem LA,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,120,mg
DIVALPROEX SODIUM,Divalproex Sodium,Depakote,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,250,mg
CLARITHROMYCIN,Clarithromycin,Biaxin,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,500,mg
LOPINAVIR,Lopinavir and Ritonavir,Kaletra,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,100,mg
RITONAVIR,Ritonavir,Norvir,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,100,mg
VENETOCLAX,Venetoclax,Venclexta,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,10,mg
NIACIN,Niacin,Niaspan,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,500,mg
POTASSIUM CHLORIDE,Potassium Chloride,K-Tab,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,1500,mg
TRANDOLAPRIL,Trandolapril and Verapamil Hydrochloride,Tarka,Abbvie Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,2,mg
N-ALKYL ETHYLBENZYL DIMETHYL AMMONIUM CHLORIDE (C12-C14),BENZALKONIUM CHLORIDE,Handy Quat,ABC Compounding Co. Inc,HUMAN OTC DRUG,SOAP,TOPICAL,OTC MONOGRAPH NOT FINAL,12.5,mg
ARSENIC,Arsenicum album,HZ - Tox,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
ACETYLCHOLINE CHLORIDE,Ultimate Phenolics,Ultimate Phenolics,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
ADENOSINE TRIPHOSPHATE,Rena Code,Rena Code,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,5,[hp_X]
APIS MELLIFERA,Throat Milieu,Throat Milieu,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
ARNICA MONTANA,Pre and Post Milieu,Pre and Post Milieu,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,200,[hp_X]
BOS TAURUS PINEAL GLAND,Pineal Code,Pineal Code,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_C]
ACETALDEHYDE,Acetaldehyde,Aller-Tox 1,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
AGRIMONIA EUPATORIA,Ultimate Fields,Ultimate Fields,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
AMERICAN GINSENG,Human Chorionic Gonadotropin (HCG),HCG Plus,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
BOS TAURUS ADRENAL GLAND,Adrenal,Bacteria Tox,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
BOS TAURUS HYPOTHALAMUS,Hypothalamus,Oral HCG Homeopathic,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
CALCIUM FLUORIDE,BioCell Slats,BioCell Salts,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
CHERRY PLUM,Cherry Plum,Ultimate Rescue,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,30,[hp_C]
GONADOTROPHIN,Human Chorionic Gonadotropin (HCG),HCG Plus,ABCO Laboratories Inc,HUMAN OTC DRUG,SOLUTION,ORAL,UNAPPROVED HOMEOPATHIC,12,[hp_X]
PACLITAXEL,Paclitaxel,ABRAXANE,Abraxis BioScience LLC,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,100,mg
CAMPHOR (NATURAL),Camphor,Blue Ice Fermented Cod Liver Oil Calm Balm,ABS Corporation,HUMAN OTC DRUG,SALVE,TOPICAL,OTC MONOGRAPH NOT FINAL,1.3,g
PIMAVANSERIN TARTRATE,pimavanserin tartrate,NUPLAZID,ACADIA Pharmaceuticals Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,17,mg
LIDOCAINE AND PRILOCAINE,lidocaine and prilocaine,Relador Pak,Accelis Pharma,HUMAN PRESCRIPTION DRUG,KIT,TOPICAL,ANDA,None,None
